province;red;green;blue;x;x
924;137;103;255;Scuggersby;x
925;173;183;219;Lunix;x
926;48;255;72;Fjordholm;x
927;209;183;169;Burdma;x
928;183;183;204;#2;x
929;236;255;145;Scinweld;x
930;178;175;204;Tvegadan;x
931;255;199;127;Quattoury;x
932;117;255;245;Grossehein;x
933;93;167;216;Amonikan Sea;x
934;173;255;43;Huen;x
935;112;255;250;Wonderbanks;x
936;250;255;112;Decemetoctotuk;x
937;255;167;117;Tjanid;x
938;7;127;139;Dorlingen;x
939;224;71;109;Pasros;x
940;255;247;112;Salakhan;x
941;198;159;87;#2;x
942;198;255;84;Hajet;x
943;135;183;31;Pyssa;x
944;239;255;119;#2;x
945;61;111;165;Coast of Des;x
946;236;255;117;#2;x
947;85;127;204;Wejsputt;x
948;43;239;183;Altfikirch;x
949;166;175;59;#2;x
950;204;95;81;#2;x
951;4;4;4;PLACEHOLDER951;x
952;114;255;210;Jackhalen;x
953;255;255;94;Khaarchaana;x
954;111;95;206;Pimuk;x
955;243;255;81;Dira;x
956;149;175;54;#2;x
957;76;87;239;Hannis;x
958;120;111;219;Sepstrait;x
959;209;255;119;#2;x
960;175;39;8;#2;x
961;168;23;1;#2;x
962;101;95;204;Novochelym;x
963;209;151;125;Makk;x
964;255;127;81;Yuhn;x
965;249;255;86;Bekrad;x
966;107;183;219;#2;x
967;145;71;39;#2;x
968;73;95;255;Donkak;x
969;112;255;202;Doggermanland;x
970;255;127;68;Iyarit;x
971;219;215;100;Unimila;x
972;188;143;124;Hewick;x
973;189;255;124;Decemnovemtuk;x
974;131;175;65;#2;x
975;255;103;61;Sudherike;x
976;255;71;58;Vigintituk;x
977;99;79;168;Kalbufi;x
978;50;119;255;Westslope;x
979;216;95;12;Feldeck;x
980;166;255;112;Woandik;x
981;204;183;26;#2;x
982;115;183;175;Aedan Coast;x
983;255;127;35;Vigintietuniustuk;x
984;119;239;149;Olassim;x
985;117;255;151;Fegap;x
986;114;71;145;Parin;x
987;204;111;40;Lorvelynn;x
988;35;87;198;#2;x
989;66;119;165;#2;x
990;211;79;52;Belerechny;x
991;182;255;94;Pidaros;x
992;50;191;219;Filthy Sea;x
993;76;95;165;#2;x
994;67;143;168;#2;x
995;52;183;216;#2;x
996;181;255;91;Tlalhuaco;x
997;96;15;142;#2;x
998;204;255;63;Quinquetuk;x
999;117;255;128;Motuk;x
1000;145;135;103;Yeomon;x
1001;158;255;102;Barhuhk;x
1002;84;151;175;Ossim;x
1003;150;127;106;Oker;x
1004;255;227;107;Ouestrait;x
1005;65;173;204;Westmouthe;x
1006;79;154;204;Ouesnor;x
1007;63;65;204;Yickelford;x
1008;73;171;204;Yillwater;x
1009;158;232;247;Leloineau;x
1010;143;197;247;Penzelle;x
1011;143;155;247;Esteauri;x
1012;4;4;5;PLACEHOLDER1012;x
1013;4;5;5;PLACEHOLDER1013;x
1014;5;5;5;PLACEHOLDER1014;x
1015;53;105;205;Lorvriva;x
1016;236;167;182;Warpweld;x
1017;255;251;137;GlitchFixOne;x
